[2025-10-23T07:29:34.143Z] loadCheckpoint: {"message":"Unexpected end of JSON input","timestamp":"2025-10-23T07:29:34.141Z","context":"loadCheckpoint"}
[2025-11-05T10:03:10.265Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-05T10:03:10.231Z","context":"fetchLogsFromGraylog"}
[2025-11-05T10:03:14.315Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-05T10:03:14.295Z","context":"fetchLogsFromGraylog"}
[2025-11-05T10:03:19.322Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-05T10:03:19.321Z","context":"fetchLogsFromGraylog"}
[2025-11-05T10:03:26.332Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-05T10:03:26.331Z","context":"fetchLogsFromGraylog"}
[2025-11-06T08:48:54.251Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-06T08:48:54.227Z","context":"fetchLogsFromGraylog"}
[2025-11-06T08:48:58.289Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-06T08:48:58.287Z","context":"fetchLogsFromGraylog"}
[2025-11-06T08:49:03.300Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-06T08:49:03.300Z","context":"fetchLogsFromGraylog"}
[2025-11-06T08:49:10.304Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-06T08:49:10.304Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:42:14.251Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:42:14.223Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:42:20.340Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:42:20.340Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:42:25.349Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:42:25.349Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:47:55.296Z] fetchLogsFromGraylog: {"message":"read ECONNRESET","timestamp":"2025-11-11T06:47:55.277Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:47:59.309Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:47:59.307Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:48:26.072Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:48:26.072Z","context":"fetchLogsFromGraylog"}
[2025-11-11T06:48:30.079Z] fetchLogsFromGraylog: {"message":"connect ECONNREFUSED 192.168.1.68:9000","timestamp":"2025-11-11T06:48:30.079Z","context":"fetchLogsFromGraylog"}
